model,mpix,sensor,price,launch,overall,portrait,landscrape,sports
Olympus OM-D E-M10 Mark II,16.1,"4/3""",$650,Aug. 2015,73.0,23.1,12.5,842.0
Fujifilm FinePix X100,12.3,APS-C,$999,Sep. 2010,73.0,22.9,12.4,1001.0
Olympus OM-D E-M5 Mark II,16.1,"4/3""",$1100,Feb. 2015,73.0,23.0,12.4,896.0
Panasonic Lumix DC-GX800,16,"4/3""",$550,Jan. 2017,73.0,23.2,13.3,586.0
Sony NEX-F3,16.1,APS-C,$600,May. 2012,73.0,22.7,12.3,1114.0
Samsung NX1100,20.3,APS-C,$600,Apr. 2013,73.0,23.0,12.5,852.0
Sony SLT Alpha 55,16.2,APS-C,$750,Aug. 2010,73.0,23.0,12.4,816.0
Olympus OM-D E-M1,16.3,"4/3""",$1399,Sep. 2013,73.0,23.0,12.7,757.0
Sony NEX-C3,16.2,APS-C,$770,Jun. 2011,73.0,22.7,12.2,1083.0
Nikon D90,12.3,APS-C,$1235,Aug. 2008,73.0,22.7,12.5,977.0
Olympus PEN E-P5,16.1,"4/3""",$1000,May. 2013,72.0,22.8,12.4,895.0
Canon EOS M3,24.2,APS-C,$870,Feb. 2015,72.0,22.8,11.8,1169.0
Olympus OM-D E-M10,16.1,"4/3""",$700,Jan. 2014,72.0,22.8,12.3,884.0
Nikon D5000,12.3,APS-C,$730,Apr. 2009,72.0,22.7,12.5,868.0
Olympus PEN E-PL5,16.1,"4/3""",$699,Sep. 2012,72.0,22.8,12.3,889.0
Pentax Kx,12.4,APS-C,$640,Sep. 2009,72.0,22.8,12.5,811.0
Olympus PEN E-PM2,16.1,"4/3""",$599,Sep. 2012,72.0,22.7,12.2,932.0
Olympus PEN E-PL7,16.1,"4/3""",$600,Aug. 2014,72.0,22.7,12.4,873.0
Pentax Kr,12.4,APS-C,$700,Oct. 2010,72.0,22.9,12.4,755.0
Samsung NX 1000,20.3,APS-C,$749,Apr. 2012,72.0,22.8,12.4,840.0
Olympus OM-D E-M5,16.1,"4/3""",$999,Feb. 2012,71.0,22.8,12.3,826.0
Panasonic Lumix DMC-GX80,16,"4/3""",$800,Apr. 2016,71.0,22.9,12.6,662.0
Panasonic Lumix DMC-GH3,16.05,"4/3""",$1300,Sep. 2012,71.0,22.7,12.4,812.0
Samsung NX 210,20.3,APS-C,$899,Apr. 2012,71.0,22.8,12.5,719.0
Canon EOS 1D Mark III,10.1,APS-H,$4050,Feb. 2007,71.0,22.7,11.7,1078.0
Canon EOS 750D,24.2,APS-C,$750,Feb. 2015,71.0,22.7,12.0,919.0
Canon EOS 5D,12.7,Full Frame,$2000,Aug. 2005,71.0,22.9,11.1,1368.0
Canon EOS 2000D,24.1,APS-C,$550,Feb. 2018,71.0,22.6,11.9,1009.0
Panasonic Lumix DMC-G80,16,"4/3""",$900,Sep. 2016,71.0,22.8,12.5,656.0
Canon EOS 760D,24.2,APS-C,$850,Feb. 2015,70.0,22.6,12.0,915.0
Sony SLT Alpha 33,14.2,APS-C,$599,Aug. 2010,70.0,22.8,12.6,591.0
Sony Alpha 560,14.2,APS-C,$650,Aug. 2010,70.0,22.5,12.3,817.0
Canon EOS 7D Mark II,20.2,APS-C,$1800,Sep. 2014,70.0,22.4,11.8,1082.0
Nikon D300s,12.3,APS-C,$1815,Jul. 2009,70.0,22.5,12.2,787.0
Panasonic Lumix DMC-GX7,16,"4/3""",$999,Aug. 2013,70.0,22.6,12.2,718.0
Samsung NX 200,20.3,APS-C,$899,Sep. 2011,69.0,22.6,12.6,618.0
Leica M-E Typ 220,18,Full Frame,$5450,Sep. 2012,69.0,22.7,11.7,787.0
Sony NEX5,14.16,APS-C,$650,May. 2010,69.0,22.2,12.2,796.0
Leica M9,18,Full Frame,$5500,Sep. 2009,69.0,22.5,11.7,884.0
Canon EOS 70D,20.2,APS-C,$1199,Jul. 2013,68.0,22.5,11.6,926.0
Leica M9 P,18,Full Frame,$6950,Jan. 2011,68.0,22.5,11.6,854.0
Samsung GX 20,14.6,APS-C,$1060,Jan. 2008,68.0,23.1,11.2,714.0
Sony NEX3,14.2,APS-C,$550,May. 2010,68.0,22.1,12.0,830.0
Panasonic Lumix DMC-LX100,12.8,"4/3""",$899,Sep. 2014,67.0,22.3,12.5,553.0
Sony Alpha 380,14.2,APS-C,$935,May. 2009,67.0,22.6,11.8,614.0
Nikon D3100,14.8,APS-C,$699,Oct. 2010,67.0,22.5,11.3,919.0
Nikon D300,12.3,APS-C,$1540,Aug. 2007,67.0,22.1,12.0,679.0
Panasonic Lumix DMC-GM1,16,"4/3""",$600,Oct. 2013,66.0,22.3,11.7,660.0
Sony Alpha 700,12.2,APS-C,$1300,Sep. 2007,66.0,22.3,11.9,581.0
Canon EOS 1D Mark II N,8.2,APS-H,$5986,Aug. 2005,66.0,22.3,11.2,975.0
Sony Alpha 290,14.2,APS-C,$499,Jun. 2010,66.0,22.6,11.5,615.0
Canon EOS 1D Mark II,8.2,APS-H,$1700,Jan. 2004,66.0,22.3,11.1,1003.0
Pentax K10D,10,APS-C,$900,Sep. 2006,66.0,22.7,11.6,522.0
Canon EOS 60D,18,APS-C,$1199,Aug. 2010,66.0,22.2,11.5,813.0
Sony Alpha 390,14.2,APS-C,$620,Jun. 2010,66.0,22.5,11.5,607.0
Sony Alpha 550,14.2,APS-C,$899,Aug. 2009,66.0,21.9,11.8,807.0
Canon EOS 7D,18,APS-C,$1974,Sep. 2009,66.0,22.0,11.7,854.0
Canon EOS 1300D,18,APS-C,$550,Mar. 2016,66.0,22.0,11.7,781.0
Canon EOS 550D pre production,18,APS-C,$900,Feb. 2010,66.0,22.0,11.6,807.0
Canon EOS 550D,18,APS-C,$1000,Feb. 2010,66.0,22.1,11.5,784.0
Panasonic Lumix DMC-GM5,16,"4/3""",$650,Sep. 2014,66.0,22.1,11.7,721.0
Sony Alpha 450,14.2,APS-C,$680,Jan. 2010,66.0,21.8,11.8,769.0
Pentax K20D,14.6,APS-C,$770,Jan. 2008,65.0,22.9,11.1,639.0
Sony Alpha 350,14.2,APS-C,$700,Jan. 2008,65.0,22.6,11.5,595.0
Fujifilm FinePix S5 Pro,6.1,APS-C,$1200,Sep. 2006,65.0,21.6,13.5,448.0
Canon EOS M10,18,APS-C,$600,Oct. 2015,65.0,22.2,11.4,753.0
Canon EOS M2,18,APS-C,$650,Dec. 2013,65.0,22.1,11.4,855.0
Canon EOS 600D,18,APS-C,$850,Feb. 2011,65.0,22.1,11.5,793.0
Canon EOS M,18,APS-C,$799,Jul. 2012,65.0,22.1,11.2,827.0
Nikon D60,10.2,APS-C,$470,Jan. 2008,65.0,22.5,11.4,562.0
Sony Alpha 500,12.3,APS-C,$699,Aug. 2009,64.0,21.8,11.6,772.0
Mamiya ZD Back,21.5,Medium Format,$6999,Sep. 2008,64.0,23.4,11.7,245.0
Sony Alpha 330,10.2,APS-C,$780,May. 2009,64.0,22.4,11.5,535.0
Pentax K200D,10.2,APS-C,$660,Jan. 2008,64.0,22.4,11.4,561.0
Nikon D200,10,APS-C,$1000,Nov. 2005,64.0,22.3,11.5,583.0
Sony Alpha 300,10.2,APS-C,$690,Jan. 2008,64.0,22.5,11.4,538.0
Panasonic Lumix DMC GH1,12.1,"4/3""",$880,Mar. 2009,64.0,21.6,11.6,772.0
Canon EOS 40D,10.1,APS-C,$899,Aug. 2007,64.0,22.1,11.3,703.0
Pentax KM,10.2,APS-C,$550,Sep. 2008,64.0,22.4,11.4,513.0
Canon EOS 100D,18,APS-C,$650,Mar. 2013,63.0,21.8,11.3,843.0
Nikon D40X,10,APS-C,$998,Mar. 2007,63.0,22.4,11.4,516.0
Sony Alpha 230,10.2,APS-C,$900,May. 2009,63.0,22.3,11.4,531.0
Canon EOS 1200D,18,APS-C,$500,Feb. 2014,63.0,21.9,11.3,724.0
Canon EOS 4000D,18,APS-C,$400,Feb. 2018,63.0,21.9,11.4,695.0
Samsung NX 10,14.6,APS-C,$610,Jan. 2010,63.0,22.8,10.8,572.0
